battery_id,cycle_index,discharge_n,ambient_temperature,capacity_ah
B0005,2,1,24,1.8564874208181574
B0005,4,2,24,1.846327249719927
B0005,6,3,24,1.8353491942234077
B0005,8,4,24,1.8352625275821128
B0005,10,5,24,1.8346455082120419
B0005,12,6,24,1.8356616600675495
B0005,14,7,24,1.8351461429226603
B0005,16,8,24,1.8257567905665537
B0005,18,9,24,1.8247738529891333
B0005,20,10,24,1.824613268496936
B0005,22,11,24,1.8246195526864504
B0005,25,12,24,1.8142019357673917
B0005,27,13,24,1.8137521577549054
B0005,29,14,24,1.8134404914735822
B0005,31,15,24,1.8025980036306504
B0005,33,16,24,1.80210690024615
B0005,35,17,24,1.802579500826209
B0005,37,18,24,1.8030683142834096
B0005,39,19,24,1.8027776247196041
B0005,42,20,24,1.8470259949329193
B0005,46,21,24,1.847417311283644
B0005,50,22,24,1.8361774213478947
B0005,54,23,24,1.8257807475776242
B0005,58,24,24,1.8251136435078368
B0005,62,25,24,1.8255815042203762
B0005,66,26,24,1.8140311275083907
B0005,70,27,24,1.8147691941158939
B0005,74,28,24,1.813969388710352
B0005,78,29,24,1.802765665167823
B0005,82,30,24,1.804077040117352
B0005,86,31,24,1.8518025516704486
B0005,90,32,24,1.8307038456739428
B0005,94,33,24,1.8199041089501267
B0005,98,34,24,1.8093079637028517
B0005,102,35,24,1.80460990458052
B0005,106,36,24,1.7993770651972192
B0005,110,37,24,1.7884432335370462
B0005,114,38,24,1.7829230484252723
B0005,118,39,24,1.7730337158018288
B0005,122,40,24,1.773037755078937
B0005,126,41,24,1.7678721106662054
B0005,130,42,24,1.7623150704093087
B0005,134,43,24,1.7676172924938447
B0005,136,44,24,1.762668359743147
B0005,140,45,24,1.7517304870664143
B0005,144,46,24,1.7418496047960008
B0005,148,47,24,1.7360913511847138
B0005,150,48,24,1.7936240148573608
B0005,154,49,24,1.7831890223273275
B0005,158,50,24,1.7673642076278957
B0005,162,51,24,1.7570177850353066
B0005,166,52,24,1.7468706179837907
B0005,170,53,24,1.7417172507457144
B0005,174,54,24,1.7364225056478186
B0005,178,55,24,1.7263217239235826
B0005,182,56,24,1.7158065389330133
B0005,186,57,24,1.710533351135192
B0005,190,58,24,1.706014499648521
B0005,194,59,24,1.7003110272642588
B0005,198,60,24,1.6945798601797895
B0005,202,61,24,1.6849029086609286
B0005,206,62,24,1.6744741591159717
B0005,210,63,24,1.6745692479879102
B0005,214,64,24,1.663716375981405
B0005,216,65,24,1.659013868748246
B0005,220,66,24,1.6538540573335014
B0005,224,67,24,1.642653782130131
B0005,228,68,24,1.6378578430223698
B0005,232,69,24,1.6327350407099108
B0005,236,70,24,1.6277528915533617
B0005,240,71,24,1.622125485521159
B0005,244,72,24,1.6113256603765849
B0005,248,73,24,1.6065631397488385
B0005,252,74,24,1.6015142233917594
B0005,256,75,24,1.590369231400328
B0005,260,76,24,1.5857889968242211
B0005,264,77,24,1.5849430707374117
B0005,266,78,24,1.5955263892495937
B0005,270,79,24,1.5747301747801037
B0005,274,80,24,1.5649019950937946
B0005,278,81,24,1.5597659473370362
B0005,282,82,24,1.5594815668184234
B0005,286,83,24,1.55468935359061
B0005,290,84,24,1.5488741079890418
B0005,294,85,24,1.538236598942558
B0005,298,86,24,1.527914258251028
B0005,302,87,24,1.5285252629756445
B0005,306,88,24,1.522647325284378
B0005,310,89,24,1.5174859938489869
B0005,313,90,24,1.605818899130659
B0005,316,91,24,1.5638491446744425
B0005,320,92,24,1.5480915247767786
B0005,324,93,24,1.5323755631868592
B0005,328,94,24,1.5269528268489705
B0005,332,95,24,1.5169573017136326
B0005,336,96,24,1.5118975960142693
B0005,340,97,24,1.5065638960681105
B0005,344,98,24,1.5015453526671363
B0005,348,99,24,1.4908444050400238
B0005,352,100,24,1.485868384561201
B0005,356,101,24,1.480413677976106
B0005,360,102,24,1.4752095869031632
B0005,364,103,24,1.4859035988304024
B0005,367,104,24,1.4960918298136696
B0005,371,105,24,1.4808005946928984
B0005,375,106,24,1.4697543268466824
B0005,379,107,24,1.4539012274845928
B0005,383,108,24,1.4541462067235693
B0005,387,109,24,1.455023751906683
B0005,391,110,24,1.449042163761236
B0005,395,111,24,1.4386709371480566
B0005,399,112,24,1.433445432156979
