protocol,test_battery,feature_set,model,n_train,n_test,MAE,RMSE,R2
lobo,B0005,V_at_Q_only,Ridge,468,168,0.015906094990719693,0.018116549142463124,0.968614023974224
lobo,B0006,V_at_Q_only,Ridge,468,168,0.033931128096860184,0.037155270281599206,0.9094320437900877
lobo,B0007,V_at_Q_only,Ridge,468,168,0.016579556169189616,0.017966701037043488,0.9551716486929597
lobo,B0018,V_at_Q_only,Ridge,504,132,0.009630421451783725,0.012597581492000024,0.9770622722359027
lobo,B0005,V_at_Q_only,RandomForest,468,168,0.012915510047374274,0.01637989252672871,0.9743429463870509
lobo,B0006,V_at_Q_only,RandomForest,468,168,0.036993396561700545,0.048496138489061064,0.8457063559720964
lobo,B0007,V_at_Q_only,RandomForest,468,168,0.016076903076308796,0.01775932654116324,0.9562005083933428
lobo,B0018,V_at_Q_only,RandomForest,504,132,0.024712437199061774,0.030380711550082783,0.8665950563371185
lobo,B0005,V_at_Q_plus_Vstats,Ridge,468,168,0.019083654394510922,0.02081647910923024,0.9585619570818141
lobo,B0006,V_at_Q_plus_Vstats,Ridge,468,168,0.03959213697995823,0.043911682072046904,0.873499027428768
lobo,B0007,V_at_Q_plus_Vstats,Ridge,468,168,0.02601635024098251,0.02871326080580715,0.8855064251579293
lobo,B0018,V_at_Q_plus_Vstats,Ridge,504,132,0.012472994217231104,0.01514552463779701,0.9668453318949761
lobo,B0005,V_at_Q_plus_Vstats,RandomForest,468,168,0.00819718885968963,0.010553265712698079,0.9893497836057069
lobo,B0006,V_at_Q_plus_Vstats,RandomForest,468,168,0.03534695657997457,0.04776428389739207,0.8503281041918533
lobo,B0007,V_at_Q_plus_Vstats,RandomForest,468,168,0.02087784297271105,0.022105460823901107,0.9321397852035391
lobo,B0018,V_at_Q_plus_Vstats,RandomForest,504,132,0.023272810720620606,0.029331538396101982,0.8756500186314566
lobo,B0005,No_t_discharge,Ridge,468,168,0.02848004292517049,0.03417058417812757,0.8883420904008787
lobo,B0006,No_t_discharge,Ridge,468,168,0.03709461852899685,0.04048589698353614,0.8924671270272999
lobo,B0007,No_t_discharge,Ridge,468,168,0.03907021450817333,0.04599752952066892,0.7061774674261848
lobo,B0018,No_t_discharge,Ridge,504,132,0.013226919386164923,0.01613531635731659,0.9623702779174792
lobo,B0005,No_t_discharge,RandomForest,468,168,0.009625644963314726,0.012458519858526376,0.9851571402623519
lobo,B0006,No_t_discharge,RandomForest,468,168,0.037615860294042805,0.04857161595185988,0.8452257092407461
lobo,B0007,No_t_discharge,RandomForest,468,168,0.017055964885642618,0.01911504542641917,0.949258096731743
lobo,B0018,No_t_discharge,RandomForest,504,132,0.02196379715673415,0.02762004959664591,0.8897382326523509
lobo,B0005,Top10_all,Ridge,468,168,0.0184786745344171,0.020593851511921578,0.9594435587089527
lobo,B0006,Top10_all,Ridge,468,168,0.06325703337559874,0.06385019568954545,0.7325404048260249
lobo,B0007,Top10_all,Ridge,468,168,0.02548920452338414,0.0326823971779283,0.8516649128147737
lobo,B0018,Top10_all,Ridge,504,132,0.03321711027783681,0.03516597380189053,0.8212601712060877
lobo,B0005,Top10_all,RandomForest,468,168,0.009588815731860939,0.011854412239701649,0.9865616874549653
lobo,B0006,Top10_all,RandomForest,468,168,0.04888353889239752,0.05737835198450911,0.7840118829829821
lobo,B0007,Top10_all,RandomForest,468,168,0.017894818723797463,0.02041085229238152,0.9421453375749318
lobo,B0018,Top10_all,RandomForest,504,132,0.021606058378986957,0.027039600577079253,0.894323946711956
lobo,B0005,Top10_no_temp,Ridge,468,168,0.02268262232524147,0.026725829076945557,0.9316958550550748
lobo,B0006,Top10_no_temp,Ridge,468,168,0.06345947559563128,0.06390191368456452,0.7321069503646354
lobo,B0007,Top10_no_temp,Ridge,468,168,0.018863295175988542,0.02820037478463742,0.8895601407501252
lobo,B0018,Top10_no_temp,Ridge,504,132,0.02183697145181574,0.024834178649893242,0.9108593814936663
lobo,B0005,Top10_no_temp,RandomForest,468,168,0.009705258678832969,0.01213400356547972,0.9859203155270583
lobo,B0006,Top10_no_temp,RandomForest,468,168,0.049098107131147296,0.05754660348149111,0.7827433347089957
lobo,B0007,Top10_no_temp,RandomForest,468,168,0.019831849112430782,0.02280319133439586,0.9277883369909433
lobo,B0018,Top10_no_temp,RandomForest,504,132,0.022532703475241476,0.02834157571844656,0.8839021905104436
lobo,B0005,Top10_only_voltage_current,Ridge,468,168,0.0266955432072193,0.03142791717061699,0.9055469719053878
lobo,B0006,Top10_only_voltage_current,Ridge,468,168,0.032738869523156425,0.03590193302462413,0.9154391416982925
lobo,B0007,Top10_only_voltage_current,Ridge,468,168,0.02557956549754588,0.031942489154033825,0.8583053032206616
lobo,B0018,Top10_only_voltage_current,Ridge,504,132,0.011846762687529972,0.015273646984465884,0.9662820207952731
lobo,B0005,Top10_only_voltage_current,RandomForest,468,168,0.01007830622246845,0.012719508016887373,0.984528753252322
lobo,B0006,Top10_only_voltage_current,RandomForest,468,168,0.035916342983390734,0.04786054984998205,0.8497241873747511
lobo,B0007,Top10_only_voltage_current,RandomForest,468,168,0.019132420369764397,0.02115471535225923,0.937851527879665
lobo,B0018,Top10_only_voltage_current,RandomForest,504,132,0.023092718277925087,0.029135510330576025,0.8773065721360084
