protocol,battery_id,feature_set,model,n_train,n_test,MAE,RMSE,R2
time_split,B0005,V_at_Q_only,Ridge,117,51,0.027856527288613715,0.030965593264447658,-1.1042155904764095
time_split,B0006,V_at_Q_only,Ridge,117,51,0.013147133912305809,0.013650087965506368,0.8260341202367609
time_split,B0007,V_at_Q_only,Ridge,117,51,0.019499542533117774,0.021804319943476102,-0.30850208896259224
time_split,B0018,V_at_Q_only,Ridge,92,40,0.013403326816539371,0.014134660463646758,0.1159418160229354
time_split,B0005,V_at_Q_only,RandomForest,117,51,0.03950298808358498,0.04444727805435746,-3.335326036658291
time_split,B0006,V_at_Q_only,RandomForest,117,51,0.04717658263521681,0.05681623831744305,-2.0139644863234207
time_split,B0007,V_at_Q_only,RandomForest,117,51,0.03238567892641625,0.037088886688419594,-2.7859678583706486
time_split,B0018,V_at_Q_only,RandomForest,92,40,0.020448704019870402,0.023883703732763824,-1.5241399959692523
time_split,B0005,V_at_Q_plus_Vstats,Ridge,117,51,0.02030706289392775,0.02335378987952527,-0.19686773885898678
time_split,B0006,V_at_Q_plus_Vstats,Ridge,117,51,0.012470420091387146,0.016514715406308635,0.7453548755035319
time_split,B0007,V_at_Q_plus_Vstats,Ridge,117,51,0.019865898076375513,0.02229791159239945,-0.36841462408144565
time_split,B0018,V_at_Q_plus_Vstats,Ridge,92,40,0.004119312289292259,0.004661053672589645,0.9038657160880736
time_split,B0005,V_at_Q_plus_Vstats,RandomForest,117,51,0.03967145407510384,0.044576920003391036,-3.360653112204898
time_split,B0006,V_at_Q_plus_Vstats,RandomForest,117,51,0.04844556021922312,0.0580968463129075,-2.1513619984917676
time_split,B0007,V_at_Q_plus_Vstats,RandomForest,117,51,0.032524506029803196,0.037187408906343665,-2.8061085205156635
time_split,B0018,V_at_Q_plus_Vstats,RandomForest,92,40,0.021237628477439104,0.024611971867305092,-1.6804203583274058
time_split,B0005,No_t_discharge,Ridge,117,51,0.014510060734345074,0.01704332832176448,0.3625586316969661
time_split,B0006,No_t_discharge,Ridge,117,51,0.004703120694087776,0.006581887408454742,0.9595522772700253
time_split,B0007,No_t_discharge,Ridge,117,51,0.015295760701495603,0.017071300449561,0.19791103752714045
time_split,B0018,No_t_discharge,Ridge,92,40,0.0036066727503370893,0.004220353837596075,0.9211851930808738
time_split,B0005,No_t_discharge,RandomForest,117,51,0.039950666226271095,0.044909776192874666,-3.4260183033609106
time_split,B0006,No_t_discharge,RandomForest,117,51,0.04913017142928448,0.058689772280006464,-2.216014708290937
time_split,B0007,No_t_discharge,RandomForest,117,51,0.03362406352174057,0.03828313284985312,-3.0337062618012673
time_split,B0018,No_t_discharge,RandomForest,92,40,0.021546298436742207,0.024867511660744853,-1.7363695459526216
time_split,B0005,Top10_all,Ridge,117,51,0.007667628564732045,0.008786624883426635,0.8305757405465777
time_split,B0006,Top10_all,Ridge,117,51,0.004081389884902308,0.005722304102571113,0.9694272119602353
time_split,B0007,Top10_all,Ridge,117,51,0.009105056057399911,0.010058145984971324,0.7215641207074635
time_split,B0018,Top10_all,Ridge,92,40,0.002082766473779571,0.002486286093971819,0.9726465386978282
time_split,B0005,Top10_all,RandomForest,117,51,0.03991771015819482,0.0448908874187551,-3.422295974468975
time_split,B0006,Top10_all,RandomForest,117,51,0.04920082645890826,0.058779060308001146,-2.225807557369479
time_split,B0007,Top10_all,RandomForest,117,51,0.03347284385207252,0.038160485687527695,-3.007902200234012
time_split,B0018,Top10_all,RandomForest,92,40,0.021477042636522507,0.024896827481291676,-1.742825053355765
time_split,B0005,Top10_no_temp,Ridge,117,51,0.00969017760415195,0.011035371080424848,0.7327576346036333
time_split,B0006,Top10_no_temp,Ridge,117,51,0.0058058237987666005,0.007969575803195132,0.9406987853387389
time_split,B0007,Top10_no_temp,Ridge,117,51,0.009873612635944867,0.011057601619823072,0.6634797469318426
time_split,B0018,Top10_no_temp,Ridge,92,40,0.001830753886697159,0.0022702020978676725,0.9771945246394067
time_split,B0005,Top10_no_temp,RandomForest,117,51,0.039496183403128035,0.044456301442671875,-3.3370864729721887
time_split,B0006,Top10_no_temp,RandomForest,117,51,0.047492895287063006,0.05717208069390426,-2.051835871717509
time_split,B0007,Top10_no_temp,RandomForest,117,51,0.032337446445189294,0.03705024555713628,-2.778083131396414
time_split,B0018,Top10_no_temp,RandomForest,92,40,0.02098492742871578,0.024370327733299894,-1.628045179943423
time_split,B0005,Top10_only_voltage_current,Ridge,117,51,0.020943873080033013,0.023993473092642686,-0.26333247064346543
time_split,B0006,Top10_only_voltage_current,Ridge,117,51,0.009746937077066977,0.01217788498192004,0.8615359873323645
time_split,B0007,Top10_only_voltage_current,Ridge,117,51,0.018535750809348862,0.020774387988298365,-0.1878067941734558
time_split,B0018,Top10_only_voltage_current,Ridge,92,40,0.003391007860856052,0.004002597700405972,0.9291085318051605
time_split,B0005,Top10_only_voltage_current,RandomForest,117,51,0.039552446172595866,0.044461175259249676,-3.338037488777416
time_split,B0006,Top10_only_voltage_current,RandomForest,117,51,0.04756599886828843,0.057264083359913384,-2.061665947850385
time_split,B0007,Top10_only_voltage_current,RandomForest,117,51,0.03240351154137714,0.037086277197261444,-2.7854351326414313
time_split,B0018,Top10_only_voltage_current,RandomForest,92,40,0.021013464973064548,0.024320492656836307,-1.617307948641332
